ano_eleicao,turno,instituto,data_inicio_campo,data_fim_campo,data_publicacao,amostra,cenario,candidato,percentual_total,brancos_nulos,indecisos,fonte,amostra_imputada,qualidade_fonte,cenario_tipo,incumbente,sucessor_governo,partido_governo,reeleicao_permitida,ex_presidente,pib_crescimento,inflacao,desemprego,fundamentos_ano_referencia,fundamentos_defasagem_max,cenario_rotulo,cenario_prioridade,usar_previsao_principal,dias_campo_ate_eleicao,dias_publicacao_ate_eleicao,ordem_pesquisa_instituto_cenario,ordem_pesquisa_campanha,voto_valido_estimado,resultado_real_validos,erro
2026,1,Datafolha,2026-09-08,2026-09-10,2026-09-10,2002,wikipedia_tabela_2,Lula,39.0,0,10.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,1,0,1,1,1,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,24,24,3,89,43.3333,,
2026,1,Datafolha,2026-09-08,2026-09-10,2026-09-10,2002,wikipedia_tabela_2,Flávio Bolsonaro,35.0,0,10.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,,,,,,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,24,24,3,89,38.8889,,
2026,1,Datafolha,2026-09-08,2026-09-10,2026-09-10,2002,wikipedia_tabela_2,Augusto Cury,6.0,0,10.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,,,,,,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,24,24,3,89,6.6667,,
2026,1,Datafolha,2026-09-08,2026-09-10,2026-09-10,2002,wikipedia_tabela_2,Ronaldo Caiado,4.0,0,10.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,,,,,,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,24,24,3,89,4.4444,,
2026,1,Datafolha,2026-09-08,2026-09-10,2026-09-10,2002,wikipedia_tabela_2,Romeu Zema,2.0,0,10.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,,,,,,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,24,24,3,89,2.2222,,
2026,1,Futura,2026-09-04,2026-09-10,2026-09-10,2000,wikipedia_tabela_2,Lula,39.2,0,8.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,1,0,1,1,1,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,24,24,2,90,42.7481,,
2026,1,Futura,2026-09-04,2026-09-10,2026-09-10,2000,wikipedia_tabela_2,Flávio Bolsonaro,33.6,0,8.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,,,,,,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,24,24,2,90,36.6412,,
2026,1,Futura,2026-09-04,2026-09-10,2026-09-10,2000,wikipedia_tabela_2,Augusto Cury,6.4,0,8.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,,,,,,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,24,24,2,90,6.9793,,
2026,1,Futura,2026-09-04,2026-09-10,2026-09-10,2000,wikipedia_tabela_2,Ronaldo Caiado,4.4,0,8.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,,,,,,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,24,24,2,90,4.7983,,
2026,1,Futura,2026-09-04,2026-09-10,2026-09-10,2000,wikipedia_tabela_2,Romeu Zema,0.7,0,8.3,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,,,,,,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,24,24,2,90,0.7634,,
2026,1,PoderData,2026-09-06,2026-09-09,2026-09-09,3000,wikipedia_tabela_2,Lula,38.0,0,4.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,1,0,1,1,1,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,25,25,3,87,39.5833,,
2026,1,PoderData,2026-09-06,2026-09-09,2026-09-09,3000,wikipedia_tabela_2,Flávio Bolsonaro,36.0,0,4.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,,,,,,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,25,25,3,87,37.5000,,
2026,1,PoderData,2026-09-06,2026-09-09,2026-09-09,3000,wikipedia_tabela_2,Augusto Cury,10.0,0,4.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,,,,,,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,25,25,3,87,10.4167,,
2026,1,PoderData,2026-09-06,2026-09-09,2026-09-09,3000,wikipedia_tabela_2,Ronaldo Caiado,2.0,0,4.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,,,,,,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,25,25,3,87,2.0833,,
2026,1,PoderData,2026-09-06,2026-09-09,2026-09-09,3000,wikipedia_tabela_2,Romeu Zema,1.0,0,4.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,,,,,,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,25,25,3,87,1.0417,,
2026,1,AtlasIntel,2026-09-04,2026-09-09,2026-09-09,5000,wikipedia_tabela_2,Lula,43.0,0,1.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,1,0,1,1,1,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,25,25,2,83,43.4343,,
2026,1,AtlasIntel,2026-09-04,2026-09-09,2026-09-09,5000,wikipedia_tabela_2,Flávio Bolsonaro,37.4,0,1.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,,,,,,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,25,25,2,83,37.7778,,
2026,1,AtlasIntel,2026-09-04,2026-09-09,2026-09-09,5000,wikipedia_tabela_2,Augusto Cury,6.6,0,1.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,,,,,,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,25,25,2,83,6.6667,,
2026,1,AtlasIntel,2026-09-04,2026-09-09,2026-09-09,5000,wikipedia_tabela_2,Ronaldo Caiado,1.1,0,1.0,https://en.wikipedia.org/wiki/Opinion_polling_for_the_2026_Brazilian_presidential_election,0,wikipedia_estruturada_auditoria_parcial,primeiro_turno,,,,,,2.2857,5.0168,5.9700,2025,1,Primeiro turno 2026 - Lula vs Flavio,2,0,25,25,2,83,1.1111,,
